Unnamed: 0,row ID,smiles,row m/z,match_id,match_smiles,pair_similarity,mps,pp,mps_pp,mcs
18200,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00000007048,CC(C)C[C@H]1C(=O)N2CCC[C@H]2C(=O)N1,0.606303497,11.0,0.611111111,11.0,1.0
5246,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,NPA016726,CC1=CC(=O)C2=C(O[C@@]3(C)CC[C@H]4[C@@](C)(CC[C@H]5C(C)(C)[C@@H](O)CC[C@@]54C)[C@@H]3C2)O1,0.390027106,2.0,0.042553191,2.0,0.274509804
1819,8,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,349.0671082,NPA017548,COC1=C(C(=C(C(=C1)C2=CC(=O)C(=N)C(=C2O)C(=O)O)O)C(=O)O)N,0.725457907,1.0,0.5,1.0,0.384615385
5247,43,O[C@H](C(C)(C)[C@@H]1CC/C(C)=C/CC/C(C)=C/CC2=C(O)C=C(C)OC2=O)CCC1=C,415.2817688,NPA002189,CC1=CC2=C(C[C@H]3[C@@]4(CC[C@@H]5[C@@]([C@H]4CC[C@@]3(O2)C)(CC[C@@H](C5(C)C)O)C)C)C(=O)O1,0.390027106,2.0,0.042553191,2.0,0.274509804
18208,85,CC1(C)CCC[C@@]2(C)[C@@]1([H])[C@H](O)C=C(C)[C@]2(O)C=O,275.1616516,CCMSLIB00009970527,CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2=O)(C)C(=O)O)C,0.767706355,2.0,0.4,2.0,0.517241379
18209,77,CCCCC1C(OC)=CC(=O)OC=1C,197.1167603,CCMSLIB00005724309,CC(C)C1C(=O)N2CCCC2C(=O)N1,0.691427648,8.0,0.119402985,8.0,0.611111111
18215,59,[H][C@]12C(C)(CCC[C@@]1(C3(C(COC3=O)=C[C@H]2OC(/C=C/C=C/CC(C)O)=O)O)C)C,427.2095947,CCMSLIB00000847171,CC(C)CC(C1=C(O)C(C(=O)C(C)C)=C(O)C=C1O)C2=C(O)C(C)(C)C(=O)C(C)(C)C2=O,0.432296067,1.0,0.076923077,1.0,0.454545455
18216,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00005747445,CC(C)CC1N=C(O)C2CCCN2C1=O,0.861036073,11.0,0.611111111,11.0,0.882352941
18217,98,CC(C)CC1NC(=O)C2CCCN2C1=O,211.144516,CCMSLIB00005740735,CC(C)CC1N=C(O)C2CCCN2C1=O,0.84483001,14.0,0.777777778,14.0,0.882352941
1834,8,COC1C=CC=C2C=1C(C1C(O)=C3C(OC4C3CCO4)=CC=1O2)=O,349.0671082,CNP0073997,O=C(O)C=1C(=N)C(=O)C=C(C1O)C=2C=C(OC)C(N)=C(C(=O)O)C2O,0.725457907,1.0,0.5,1.0,0.384615385
